location,n_peak,peak_magnitude_norm,cluster_fd_km,cluster_fd_agg,cluster_fd_jenks,cluster_sturges_jenks,cluster_scott_jenks,mask_use,mobility,vaccination_1_dose,vaccination_full,reproduction_rate,new_tests,positive_rate,tests_per_case,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,life_expectancy,human_development_index
Barbados,3.0,22.0747895205733,26.0,14.0,22.0,6.0,8.0,57.69,-2.0,159002.0,146993.0,1.1,23509.666666666668,194.46856666666667,5.7,62.04,664463.0,39.8,14952.0,9473.0,16978068.0,3.1,170.05,13.57,1.9,14.5,88469.0,79.19,814.0
Barbados,4.0,15.2304499417938,27.0,16.0,18.0,5.0,7.0,57.69,2.0,162176.0,152234.0,1.03,23509.666666666668,0.3244,3.1,43.52,664463.0,39.8,14952.0,9473.0,16978068.0,3.1,170.05,13.57,1.9,14.5,88469.0,79.19,814.0
Belarus,1.0,2.00733737661007,1.0,12.0,4.0,2.0,2.0,68.93,-15.0,0.0,0.0,1.02,23509.666666666668,0.0817,12.2,37.04,46858.0,40.3,14799.0,9788.0,17167967.0,3.1,443129.0,5.18,10.5,46.1,88261.66666666667,74.79,823.0
Belarus,2.0,2.14345082140416,1.0,12.0,4.0,2.0,2.0,70.02,-11.0,2656545.0,1904108.0,1.01,11461.0,0.0577,17.3,19.44,46858.0,40.3,14799.0,9788.0,17167967.0,1.4333333333333333,443129.0,5.18,10.5,46.1,84093.33333333333,74.79,823.0
Belarus,3.0,7.69594944853949,19.0,5.0,12.0,3.0,5.0,46.67,-15.0,5465447.0,4497626.0,1.28,9703.0,0.2739,3.7,23.15,46858.0,40.3,14799.0,9788.0,17167967.0,1.4000000000000001,443129.0,5.18,10.5,46.1,83893.33333333333,74.79,823.0
Belgium,1.0,12.6967155996083,3.0,1.0,17.0,4.0,6.0,72.32,-37.0,0.0,0.0,1.24,71476.0,269.0,3.7,54.63,375564.0,41.8,18571.0,12849.0,42658576.0,0.2,114898.0,4.29,25.1,31.4,85198.0,81.63,931.0
Belgium,2.0,8.88147462595881,30.0,25.0,13.0,3.0,5.0,12.41,-10.0,9268961.0,8712824.0,1.17,47660.0,302.0,3.3,23.15,375564.0,41.8,18571.0,12849.0,42658576.0,0.2,114898.0,4.29,25.1,31.4,85198.0,81.63,931.0
Belize,1.0,5.77947742021165,25.0,4.0,10.0,3.0,4.0,53.419999999999995,-25.0,0.0,0.0,0.86,8609.0,194.41523333333336,6.7,72.22,16426.0,25.0,3853.0,2279.0,7824362.0,5.066666666666666,176957.0,17.11,19.900000000000002,30.7,90083.0,74.62,716.0
Belize,2.0,5.82684357282385,25.0,4.0,10.0,3.0,4.0,53.98,-11.0,211549.0,157364.0,1.2,8609.0,0.1644,6.1,70.37,16426.0,25.0,3853.0,2279.0,7824362.0,5.066666666666666,176957.0,17.11,10.799999999999999,23.599999999999998,90083.0,74.62,716.0
Belize,3.0,17.3967087364894,13.0,22.0,20.0,5.0,7.0,64.64,-2.0,231999.0,201830.0,1.31,8609.0,0.2582,3.9,72.22,16426.0,25.0,3853.0,2279.0,7824362.0,5.066666666666666,176957.0,17.11,10.799999999999999,23.599999999999998,90083.0,74.62,716.0
